anchor,positive,hard_negative
Paralad 250mg,DavaIndia Paracetamol 650mg,Parales 5mg
Stalpol Plus,Kuffgon-PH,Stalpol-ET 400mg/325mg
DV Cifi 200mg,Exsancef 400mg,DV Cifi AZ 200mg/250mg
Mahacef,Evicef Oral,Adifixim LB 50mg Dry
Sehwin AP 100mg/325mg,Acilex P,Sehwin Nim 100mg/325mg
Jymol 250mg,Oromol 1000mg,Jymol MF
E Cef 50mg/5ml Dry,Win 200mg,E Cef 125mg
Ceftrev S 250mg/125mg,Vyosef-S 1gm/0.5gm,Linage-S 600mg/150mg
Ceflin 50mg Dry,Ethyfix 100mg,Ceflik TZ 1000mg/125mg
Orcirab-IT 20mg/150mg,Medirebi IT 20mg/150mg,Orcirab-Dsr 30mg/20mg
Elbecta 1,Fracef 250mg,Elbecta S 500mg/250mg
Mincef-S,Meceft S 1000mg/500mg,Mincef 500mg
Saptrax SB 1000mg/500mg,Axone SB 1000mg/500mg,Lyfipime SB
Ruler IT 20mg/150mg,Zeacid IT 20mg/150mg,Ruler 30mg/20mg
Fevnil 650,Thermaset 650mg,Fevni-S 100mg/10mg
Serinak 50mg/10mg,Epep D 50mg/10mg,Serin 50mg
Nucetex 1gm,Zycef 500mg,Ceftactum 250mg/125mg
Esgipyrin-A,Acmas-SP,Miximox 250 mg/NA
Fixbase 250mg,N Cef 500mg,Fixbase 200
Topfen P,Axinac SP,Topfen T 100mg/4mg
Naxim 50mg,Pexim 100mg,Naxim 500mg
Cap Tablet,Wikoryl Oral Suspension American Ice,Captabin 500mg
Voncef 50mg,Cefinip 100 Dry Syrup Mango,Cefo LX 100mg/500mg
RT Xone S 1000mg/500mg,Tromacef SB 250mg/125mg,RT Xone 1000mg
Promexy 50mg,Prozine 200mg,Promeron
Metronidazole + Povidone Iodine,Siadine-M,Metrogyl DG Forte
Genegesic 50 mg/10 mg,Asradic S 50mg/15mg,Geneglim M 1mg/500mg
Cefcor 1000mg,A Cef 2gm,Cefcor 200mg
VG Bose 0.2mg,Brilivog 0.3,Trubogli XL 0.5mg/0.3mg
Seridase 50mg/10mg,Sess K 50mg/10mg,Seride 100mg
Aptonac P 100mg/325mg,Canefo Plus 100 mg/325 mg,Cyclopar 20mg/500mg
Ticef 200mg,Unisec 100mg,Ticef 500mg
Clonic-P,Lyfenac-MR,Clonil 25mg
Relisin-P,Audifen 100mg/325mg,Veli-D 100mg/50mg
Sendic 50mg/10mg,Diclodase,Aboheal Forte 50mg
Seradline-S,Ezonac 50mg/10mg,Luprex S
Kanxim 100,Itcef 200mg,Kanxim LB 200mg
Zingcef 1000mg,Cefta One 250mg,Zingcef S 1000mg/500mg
Increten 20mg,Tigus 20mg,Increten M 500mg/20mg
Opimol 250,Kospar 650mg,Opimol 50mg
Alvicef 375,XL One 500 mg/250 mg,Alvicef 250
MyVobo 0.2mg,Volibo 0.3,MyVobo 0.3 M
Acemov P 100mg/500mg,Kaynac-MR,Flano
Antuc-IT 20mg/150mg,Onrab IT 20mg/150mg,Esoper IT 40mg/150mg
Orzit S 500mg/250mg,Spaxim S 500mg/250mg,Orzith 250mg
Crezone-SB 1.5gm,Monotax SB 1000mg/500mg,Crezone 250
Rabble IT 20mg/150mg,Remorab IT 20mg/150mg,Rabb LS 75mg/20mg
Rixim LB 100mg,Cifizem 50mg Dry,Rixim 750
Acechos P 100 mg/500 mg,Safeflam P,Hyocimax Plus
Tecpara AC,Eracold Plus,Camyfyl Plus 50mg/325mg
Maxcef 50mg Dry,Saffy 50mg Dry,Maxcef 1.5gm
Fabrimol 250mg/5ml,Molshil 60 Orally Disintegrating Strip,Fabric 40mg
XO Flu & Cold Oral,Coldiset Oral,Propain
Bioron D 50mg/10mg,Voligesic-S,Bioroxime 500mg
Defnac S 50mg/10mg,Dicloeez SP 50mg/15mg,Defnalone 24
Acegrand Plus,Medlofenac P 100mg/325mg,Nersave A 200mg/75mg
Dristan Cold,Tersus-Cold,Dristan Expectorant
Nataxone 500mg,Himaxone 1000mg,Xplocef 2000 mg/1000 mg
Tide Plus 50mg/5mg,Toriflow S 50mg/10mg,Cglactone 50mg
Zardcef 1gm,Ceftovil 1gm,Xplocef 2000 mg/1000 mg
Vigowohn 0.3mg,Volimed 03,Vigowohn M 500mg/0.2mg
Hicef 200mg,Intriax 250mg,Hicefur 500
Ulicef S 1000mg/500mg,Cefritec SB 500mg/250mg,Ulicef TZ 1000mg/125mg
Lyzin 50mg,Lamocent 50mg,Lyzino 500mg
Norinac-SR,Acloden 200mg,No Ring 2%
Clodase 50mg/10mg,Sarrato D 50mg/10mg,Dox M St 100 mg/15 mg
Safenam S 1000mg/500mg,Litacef XS 1000 mg/500 mg,Safenac Plus 100 mg/500 mg
Azotron,Lupicetron 2mg/5ml,Azotrex 250mg
Gemcitabine,Gemibine 1400mg,Gemita 1000mg/62.5mg
Nitocef 1000mg,Strocx 1000mg,Nitocef 200mg
Ofquin TZ 200mg/600mg,Oflo TZ Forte,Ofquin 400mg
Leemol Spas,Meftajan DS,Leemol
Fastrack,Kacelo P 100mg/325mg,Fastram 325 mg/37.5 mg
Cefscot 500,Kazcef 500mg,Cefscan-AZ LB
Topcef 1000mg,Mediceft 250mg,Topcef 200
Axyclo Forte,Chymoplus,Axyclo
Onfos 4mg,Zonde 2mg/5ml,Vomer O
Cefrun 500mg,Voxicef 500mg,Cefrun S 250mg/125mg
Inflameri,Supernac 100mg/500mg,Flexinol 325 mg/400 mg
Ambrofix 200mg,Zotaxime 200mg,Komplete CV 200mg/125mg
Cefheal S 1000mg/500mg,Broadcef S 1000mg/500mg,Cefheal 500mg
Stepha 250mg,Kefzone 250mg,Elores 1.5gm
Clistin Cold and Cough,Coughrow P Oral,Clistar-M
Alovac-MR,Fenkind TC 100mg/325mg,Alovac-R
Nekcef 500mg,Acorzone 500mg,Nekcef S 1000mg/500mg
Voloxia 0.2,K-Vog 0.2mg,Voloxia M 500 mg/0.2 mg
Z One 500mg,Shoncef 125mg,Zone 500 mg/500 mg
Asdry-S 375,Gravcef S 1000mg/500mg,Ceftapure-S
Viscodyne-D,Irinil D,Viscomet 2%
Chemfort MF,Pama,Chemfix O 200mg/200mg
Orthofec S 50mg/10mg,Bypain-S10,Orthostar 20mg
Cefesym 200mg,Tcef 200mg,Cefess 50
Flon TI 200mg/600mg,O Ron TZ 200mg/600mg,Oflatop D Eye/
Atminic Dca,Rosecold DX,Atminic 2mg
Ranicef 100mg,Eecef 200,Ranicom 150mg
Cixar 200mg,Nirxime 200mg,Cixar CV 200mg/125mg
Dolbrex-Kid,Acefox-P,Dolbro 60mg
Astriox S 1000mg/500mg,Santrax SB 1000mg/500mg,Astrizine M 5mg/10mg
Reflixt 200mg,Cefifam 100mg,Reflin 1gm
Storax Plus,Dline M 500mg/750mcg,Mecofol-Plus
Met XL R 25/5,Prolomet R 25,Ramisave CH 2.5mg/12.5mg
Aquaxime 50mg,Foraxime 50 Dry,Fixidif DX 200mg/500mg
Cefta-One,Healzone 1000mg,Veltrox 1000mg/500mg
Lentaz 1.5gm,Ceftrinject S 1000mg/500mg,Vincef S 1000mg/500mg
Fusilan B,Fedic B,Fusilife
Nimlink 100mg,Nimerge 100mg,Nimli P
Nacox S 50mg/10mg,Risty D 50mg/10mg,Nacox 75mg
Xetamol M,Mefanex Forte 500mg/325mg,Grenil
Lifecif 100mg,Abifix 100mg,Lifecare 250mg
Dison 50mg/10mg,Tosway D 50mg/10mg,Disonim
Migfix 100 DT,Cefcrom 200mg,Migfix LB 200mg
Flexme,Vaxodic-MR,Flex MR
Tri 500mg,Sazocef 250mg,Tri 10mg/2mg
Nabton IT 20mg/150mg,Rabinut-IT,Rabventis L 75mg/20mg
Tendium 20mg,Teniva 20,Tendia-P
Vomi OF 2mg Oral,Ondap 2mg Oral,Rabopep O
Auxipar,Paarmol 1000mg,Auxipred 4mg
Sifzone 1000mg,Keftac 1000mg,Sifzone SB 1000mg/500mg
Jasdase 50mg/15mg,Senak 50mg/10mg,Jasdase-P
Eldocef 1000mg,Luke 1gm,Eldocort 24mg
Thri-O-Shot,Thri-O-Shot-DS,GOODOVA PLUS 25 MG/600 MG
Nam Safe Plus,Kazpar M,Nam Safe 200 mg/100 mg
Nasyle SP,Aclotec Plus 100 mg/500 mg,Divi MP Bolus
Vunnak-SP,Allitose-MR,Miximox 250 mg/NA
Cadex DX,Rekof DX,Mexacof PD
Denfinac-P 50,Indard-MR,Denfix 100mg Dry
Solfepar AP 100mg/325mg,Klacee Plus 100mg/500mg,Movon
Siodic MR 50mg/250mg,Vermidol-MR,Tralofen
Fevrem 250,Citapmol 650,Walagesic 650mg/65mg
Cronivir,Entabest 0.5,Cronim
Milibact 500 mg/250 mg,Taricef-SB 1500,Milibend Plus
Lorkind 10mg,Addine 10mg,Lorkinz-P
Azithromycin + Lactic Acid Bacillus,Azact LB 250mg,ATM
Gesol 100,Cemafix 200mg,Gesol 200
N Cef 250mg,Laccef 1000mg,N Cef 200mg
Neomol 80 Anal,Novo 650,Neomox 500mg
Adocin TZ 200mg/600mg,Biocin TZ 200mg/600mg,Adocin 200mg
Ourxime 200,Siffy 200mg,Ourxime-A Dry
Ceftozect S 250mg/125mg,Curetrax-SS 500mg/250mg,Ceftocid 250mg
Cefirest 200,Abifix 100mg,Cefirise Plus 200mg
Molvon M,Ufipar M DS,Alcold Plus
Suretrix,Cefritec 1000mg,Suretam-D
Mahacef 1000mg,Nkcef 250mg,Mahacillin 500mg
Acebel 200mg,Sero 200mg,Evinac-AP
Movel 15mg,Melosuganril 7.5mg,Movel Spas
Sofinac-P,Speedon-SP,Sofinac-TH 8
Linox Total,Lincol CX 200mg/600mg,Linox XT
Dv Sul SB 250mg/125mg,Ocef Plus 1000mg/500mg,DV Sul 1000mg
Willxone S 250mg/125mg,Grapezone-S 2000mg/1000mg,Willxone 250
Realrab IT 20mg/150mg,Rubgy IT 20mg/150mg,Realrab 20mg
Nimgrace 100mg,Nimudar 100mg,Intario-S 100mg/10mg
Catrix 100mg,Panace 100mg,Catrisol 0.5mg
Shonac-A 100mg/325mg,Tryfen P 100mg/325mg,NEYTA 25 MG/500 MG
Hypnozine 100mg,Megatil 100mg,Chlordyl 100 mg/2 mg
StayHappi Rabeprazole+Itopride 20mg/150mg,R B Kool-IT 20mg/150mg,StayHappi Tramadol 100mg
Wikoryl Oral Suspension American Ice,Credcold DS,Defidrot P 80mg/325mg
Kaloxur TZ 200mg/600mg,O Ron TZ 200mg/600mg,Nimuram T 100mg/2mg
Apnaid P 100mg/325mg,Acenor-P 100mg/500mg,IPS-MR 100mg/2mg
Enzacef Dry,Uficef 100mg,Enzacef-OF 100
Vanclar,Ledovanc 1000,Cefirone V 1000 mg/500 mg
Medsetron,Ondanix 4mg,Medseff 200mg
Ifron-S 375mg,Arocef Plus 250mg/125mg,Ifron 500
Rabvive IT 20mg/150mg,Acera IT 20 mg/150 mg,Rabvid DSR 30mg/20mg
Mahafen-MR,Aceclopat Forte 100mg/325mg,Parasafe 500mg/50mg
Krinac-SP,Gesimos,Krinac-SR 200
Cefbactam 1000 mg/125 mg,Tazotec 1000mg/125mg,Cefbact T 250 mg/31.25 mg
Cefixime + Linezolid,Sumcef LZ 200mg/600mg,Fixliv OX 200mg/200mg
Snocef 500mg,Fumazone 500,Snocef 200mg
Nexlosar H 50mg/12.5mg,Losanorm H,Smilor 5mg/50mg
Optizox,Fenodol-MR,Optizinc
Kefcef 100mg,Ceqiz 200 DT,Kefcef O 200 mg/200 mg
Dxone S 500mg/250mg,Axocare S 250mg/125mg,Aldecef S 200 mg/150 mg
Ditomef P,Hubmef P Plus,Lacomb 400mg/325mg
Fexacef 100mg,Finch 100mg,Fexacef LB 200mg
Sarbcef 1000mg,Dumcef 500mg,Sarb Cid
Diczen S 50mg/10mg,Dipot S 50mg/10mg,Dicloreb 100mg/20mg
DR Gel-ON,Oflacid-O,Sucrafil DS
Acrea 200mg,Astodol 200mg,Acrea-P 100mg/500mg
Lota 10mg,Kailor 10mg,Zipcold-L
Zifcef 500mg,Supercef 2gm,Zifcef 1000mg
Alcob M,Clotof M,Alcob Plus Softgel
Rupain 200mg,Acelice 200 SR,Rupain RD 200mg/20mg
Medicef 250mg,Anatrix 500mg,Medicef 50mg Dry
Azidor 500 LB,Azitez 500mg,Azidor 250mg
Movacefix 200mg,Cefcon 50mg,Movacef 500mg
Zencast-SP,Acpain-SP,Starmoto Topical
Seton,Vominot O 2mg,Setonase-Z
Safix 100mg,Stenix 100 DT,Safix 200
Paramef,Rynac M,Paramed 500mg
Ceftop 500mg/250mg,Cetriax S 250 mg/125 mg,Ceftop 500mg
Acorzone,Mietrex 250mg,Acorzone-S
Sitdc 50mg,Sitacip 100mg,Sidacor 10mg/100mg
Raboallit-IT,Rabigo-IT,Raboallit 20mg
Nnor Plus,Eurocold,Nnor P
Segonac P 100mg/325mg,Sofenac 100mg/325mg,Segonim P 100mg/325mg
Vozuca 0.3,MyVobo 0.2mg,Vogliset M 0.2
DavaIndia Spironolactone+Torasemide 50mg/20mg,Torsinol Plus 50mg/10mg,DavaIndia Gliclazide 60mg
Stercef 200mg,Traxol 500mg,Zoxotrox S 250mg/125mg
Nikpas-SP,Aclonec-SP,Bigspas-P
Vigora,Science Of Him Keep Going Lidocaine Topical,Vigored Blue 100mg
Anac Plus 100 mg/500 mg,Anaclo P 100mg/325mg,Peale
Aricef 200mg,Cefistar 200mg,Aricep 5
C Xon 500mg,R Xone 1000mg,C Xon 250mg/125mg
Gypgesic-P,Aviomol-P,Rofinol P 25mg/500mg
Damcid OX,Sucranith Plus,Damcin 300mg
Rajpol 500,Pyratic,Rajpol M Kid
Kanmef P,Jonypar M,Kanmesin Rd
Ketlur,Ket,Tolar-LX
Facer P 100 mg/500 mg,Playnac 100mg/325mg,Face R 200mg/20mg
Speronden 4mg,Novon 2mg,Speroxime 200mg
Glyvog 0.2mg,Vopride 0.2mg,Glyvog gm 2mg
Hiyaxime 50mg Dry,Cefigod DS 100mg Dry,Hiyaxime CV 200mg/125mg
Dumcef 1000mg,Triazid 1000mg,Vanco Plus 2000 mg/1000 mg
Viganac ASP,Masonac-SP,Viganex 20
Alifix 100mg Dry,Eucef,Jexiclav 100mg/62.5mg
Vomikind,Nosotron 4,Vomikav
Vindcef 200,R-Xime O 50mg Dry,Vindclav Dry
Genegesic 50 mg/10 mg,Serzec 100 mg/500 mg,Genegesic 1.16%
Zexime 100mg,Segofix 50mg,Alencef LZ 200mg/600mg
Xdox 100mg,Tufoxim 200mg,Xdox 50mg Dry
Zefocef 200mg,Cefcell 200mg,Zefocef 200 LB
Tapnac,Dcoxy P,Tapnac-TH
Brace 100mg/500mg,Diecold Plus,Brace 50mg
Cefla 200 DT,Cefitoss 100mg,Zifi X 100 mg/500 mg
Ofwin TZ,Cozan-T 200mg/600mg,Pylokit
Extramol 650mg,Pritol 500mg,Extranac TH 100mg/4mg
Fatewel O Oral Suspension Sugar Free,Avogel O,Fatewel 1000mg Oral Suspension Sugar Free
Rapidin 10mg,Allerban 10mg,Alastin AM
Ketokast 0.5%,T Lac,Ketokat
Mormic E 250mg/250mg,ETHATREX 250MG/250MG,Ethamswift 125mg
Cefport Dry,Altax-O 200,Cefpoxim-OF
Resilo H,Arblos-H 25mg/12.5mg,Resil T 250mg/250mg
Koseceft 1gm,Nacxone 250mg,Kosecet-M
Kairnac 100mg,Aceforce 100mg,Kairnac P 100mg/500mg
Acilix-P 100mg/325mg,Parben,Acilid Plus 100mg/500mg
Godimol 250mg,Mypol 125mg Oral,Godimol-MF
Sitazit 100mg,Siglipol 50,Sitazit-M 50mg/1000mg
Vincef 250mg,Tixi 100mg,Vincef 500mg/500mg
Moviz 3D,Aceloemm-SP,Dropar 80 mg/500 mg
Delnim 100mg,Spanim 100mg,Delnil 50mg
Texan S 1000mg/500mg,Zutex-S 250mg/125mg,Aggreso 1000mg
Sehwin,Acigo-P,Flano
Cefotrex 200mg,Milixim 100 DT,Cefotil 200mg
Syffo 100 Dry,Nitocef 200mg,Syffo 200 LB
Nislid P,Verdant P DS,Nislid P 100mg/325mg
Benforce-M,Cystop-A,Metben
Clopar MR,Myalgesic-PM,PG Nac 50mg/100mcg
Cefvus 50mg/5ml Dry,Ixim Dry,Cefvus AZ 200mg/250mg
Ikvacef 200,Estacef 200,Ikvacef-O
Traxto 250 mg/125 mg,Tocef S 250mg/125mg,Traxton 1gm
Nimdosa 100,Nimobid 100mg,Nimdose P 100mg/325mg
Qtkool-O Sugar Fee,Bsox,Qtkool-L
Vector 50 mg/10 mg,Serpic 50mg/10mg,Dicnak O 50mg/10mg
Gudnim Cold,Chekold,Gudnite 0.25mg
Zexflam P 100mg/325mg,Acimol 100mg/500mg,Zexflam T 100mg/4mg
Cefser S 250mg/125mg,Cefton S 250mg/125mg,Cefser TZ 1000mg/125mg
Lonace 100mg,Acifon 200mg,Lonac 75mg
Nevtrox 500mg,Befotrik 250mg,Nevtrox SL 1000mg/500mg
Trihexa 500mg,Zicfi 1000mg,Trihexol Forte
Nikcold,Coldiset Oral,Nikcold Plus
Citymol CH 100mg/325mg,Engemol P 100mg/325mg,Citymont L 5mg/10mg Soft Gelatin
Cefobet 200mg,Unitax O 200mg,Cefobak 500
Makone 500mg,Zobact 1000mg,Makone S 1000mg/500mg
Zecet Cold,Snowbeta DS,Pyeevon Spas
Meflense-P Syrup Strawberry,Jizmef P,Meflense-M
Pyrimide 100mg,Nimnil 100mg,Pyrimet MR
Ticomide S 50mg/20mg,Toriflow S 50mg/10mg,Tico Meg CV 300mg/100mg
Sologard S 1000mg/500mg,Texar S 250mg/125mg,Sologesic Cold
Racef O 200mg,Yofix 200mg,Racef-S
Zerobless-SP,Aciclaz P 100mg/325mg,Zerobes 120
Apicef S 1000mg/500mg,Anzocef-S 1000mg/500mg,Tetox-TZ 1125mg
Paracip,Pomol-DS Oral Suspension Strawberry,Paracip CPM 5 mg/500 mg
Anglozone 1000mg,Cuceft 500mg,XL V 2000 mg/1000 mg
Xonbrex-S,Kefotax SB 1000 mg/500 mg,Xonbrex 1000
Kiamol MF Duo,Abopar M,Camyfyl Plus 50mg/325mg
Gercek P 100mg/325mg,Rumatab Plus 100 mg/500 mg,Lizovel
LORFAST,Abokof-DM,Lorfast D 5mg/120mg
Oshnim 100mg,Nimogin 50mg,Semdays N 100mg/15mg
Timoriz 0.5%,Timolen,Last Time-TM
Cliptrax 1000mg,Maxone 500mg,Cliptrax 1000mg/500mg
Betaceﬁ 100mg,Fixim 100mg,Betacetam 500mg
Q Pril H 10mg/25mg,Invozide,Q Pril 5mg
Imicef S 500mg/250mg,Orixone S 1000mg/500mg,Imicet M 5mg/10mg
Lexoace-P,Acenov P 100mg/325mg,Lexoage 10gm
Fixzap 100mg,Zime 100mg,Sectocef D 200mg/500mg
Cloxim 100mg,Zenocef 100mg,Cloxide Plus 10 mg/1 mg
Cachepime-TZ,Magnova 500 mg/62.5 mg,Cachepime 500mg
Dolonase 50 mg/10 mg,Ack Ack 75mg/15mg,Brutide-D
Clozen 50mg/10mg,Reqdic-S,Dufex 75 mg/20 mg
Clobyte GM Gold,Clobetamil M,Cloby
Serofin-AC 200,Nefo 200mg,Seroflo 500 Multihaler
Defton 1gm,Varnceft 500mg,Defton 6mg
Tagcef 100mg Dry,Amroz 50mg,Cefi L 400 mg/500 mg
Rifmol M,Phencita M,Dolxor DM 10mg/325mg
Neodem-MD,Vomvax 2mg,Neodec 50mg
V Xime 200mg,Abixim 200mg,Vxime 500mg
Nuvogli 0.3mg,Vobit H 0.2mg,Nuvogli Trio 1mg
Dytor Plus 5,Aldactone Plus 25mg/20mg,Lactomide
Akizone 1000mg,Xone Hospital 1000mg,Sulxone 1000mg/500mg
Intofen-P,Vivanac P,Satron Plus 4 mg/500 mg
Dizep 10mg,Dizox 10,Dizepax M
Bgmol-MR,Oacep 100mg/500mg,Bgmol TH 100mg/4mg
Junicef 1000mg,Ceforiz 500mg,Junicef PZ 4000mg/500mg
Acutiva,Aclotol P,Acutiva-SR
Alcod Oral,Active Cold P Oral,Alcod DM
Zeoceft S 250mg/125mg,Rajcef S 1000mg/500mg,Sulbapod 200mg/150mg
Troyset 8mg,Onkam 4mg,Troyslim 120mg
Enace D 2.5,Tenam HT 10 mg/25 mg,Enacet M
Traxrin 1000mg,Elxone 250mg,Traxreen 500mg
Aspofen P DS,Kezimol M,Aspofag 40mg
Celzar 1400mg,Gemkerb 1000mg,Gemita 1000mg/62.5mg
Coldfens Forte,Axocold Oral,Coldfens-DM
Arocef 500mg,Intocef 1000mg,Arocef 200mg
Brokxon-S 1.5,Marcef S 250 mg/125 mg,Brokxon 1GM
Volga R,Anset OR 4mg/150mg,Penbus-O 40mg/4mg
Aviomol-SP,Cimnic-P,Aviomol 650
Anzifen SP,Acpc 100mg/500mg,Anzifen TC 100mg/8mg
Minific-P DS,Acemaddy MF,Rinosed
Nimble P,Mefic DS,Alcold Plus
Atcef SB 250mg/125mg,Quitcef-SB 1000mg/500mg,Atcef 500mg
Offmark TZ,Abiflox TZ 200mg/600mg,Offmark 200mg
Tetox 1000mg,Ceftos 250mg,Axitrix V 1000mg/500mg
Forclofen D,Divinase Forte 50mg/10mg,Forclofen SP
Askoff D,HH Linctus Junior Syrup Alcohol Free,Biterles Plus
Autidine 40mg,Famovane 40mg,Motinac 50mg/20mg
Dracef 100mg,Promex 200mg,Dracef OF 200mg/200mg
Mecef 200mg,Nowfix 100mg,Mecef 1000mg
Lionex P 100mg/325mg,Seroace-P,Lionel H 12.5mg/40mg
Coldked,Nazodif,Proxym-XT
Indofenac P 100mg/500mg,Restoheal,Credcold DS
Losa-H 50mg/12.5mg,Artan H 50mg/12.5mg,Amiur H Forte 5mg/50mg
Xtum 250mg/125mg,Cafage-S 750,Siffy SB 200mg/150mg
Elrectil 100mg,Sun Prazin 25mg,Elrectil Plus 200mg/2mg
Respicure P DS,Solidose P,Respitec CR
Elrectil 200mg,Sun Prazin 50mg,Elrectil Plus 200mg/2mg
Ventocef 200mg,Reflixt 200mg,Ventodep ER 150
Cefi 1000mg,Cefrax 200,Ziftor-LB
Ceficon 100mg,Cefiglyph 100mg,Cefi L 400 mg/500 mg
Acicute 100mg,Safin 200mg,Leofenac-MR
Topisone M,Clocure GM,Topisal 6%
Mofin A 500mg/200mg,Metben Plus,Mofin GP
Rabesym IR 20mg/150mg,Onrab IT 20mg/150mg,Rabescope 20mg
Raczone S 1000mg/500mg,Apicef S 500mg/250mg,Raczone 1000mg
Okaflox TZ,Noragyl D 400mg/600mg,Okaflox 400mg
Atnemol MF 250mg/325mg,Mefnoc P,Atnemol 650mg
Oniron 4mg,Segidan 2mg Oral,Onirox 150mg
Celonac 100mg,Achfri 100mg,Celonib 100mg
Zanmef Forte,CP Spas-DS,Zanmet P 15mg/500mg
Myspas P,Mymef-Plus,Myspas DS 20mg/500mg
Thermaset 650mg,Felok 650mg,Thermaset M2
Flamtop 200mg,Zoxinace 200mg,Flamtop 100mg/500mg
Alfugud-D,Velfu D 10mg/0.5mg,Emzosin
Ozicef-S 250mg/125mg,Cefko SB 250mg/125mg,Ozicef 1000mg
Wellfast,Fenadol 100mg/325mg,Well Feel 100mg
Dolonim 50mg,Nimez 100mg,Combipunch 100 mg/5 mg
Eoceft 500mg,Touchone,Eoceft 375
Osum Neo GM,Soltop M,Candifem Vaginal
Acklofen 200mg,Acsent 200mg,Acklogal-SP
Cifim O 200mg,Fixset Dry,Cifimark LB 200mg
Ctmor S 1000mg/500mg,Traxrin-S 1000mg/500mg,Sulmox 500mg/250mg
Cefemel 50 Dry,Xf 200mg,Cefemel 200 LB
Endonok,Uvazest 2mg,Endonac 200mg
Hixon 2000mg,Cefaron 1000mg,Hixon T 1000mg/125mg
Ekofix 200mg,Cefexy 100mg,Ekofix LB 200mg
Silfen 100mg,Axus 100mg,Silfen-SP
Zimnic 50mg/5ml Dry,Exim 200mg,Zimnil 100mg/325mg
Dace-P 100mg/325mg,Nyoflam P 100mg/325mg,Trimol S
Morceph 250mg,Viocef 1000mg,Morcef 750mg
Amifast Plus 100mg/500mg,Nacease P 100mg/325mg,Amifab 250mg
Cetizet Cold,Coldrid,Cetiz 10mg
Vegacef S 500mg/250mg,Yevozen S 250mg/125mg,Vegaclox
Biomex 200,Scucef 50mg Dry,Biomed AM
Oxyfate-O,Kosfato-O Oral Suspension Sugar Free,Oxyfag-A Oral Suspension Sugar Free
Eltrax S 500mg/250mg,Sefone SB 1000mg/500mg,Jyocef 1gm
Asdale,Dolite MR,Acerik SR 100mg/15mg
Nkcef 250mg,Trexone 500mg,Amtex-TZ
Nanceclo SP,Acepa P 100mg/325mg,Nance 100mg
Volitroy,Diclini,VOLITRA S TABLET 50 MG/10 MG
Quietal 5mg,Paxum 5mg,Quietal 50mg
Efnar,Resera DP 50 mg/10 mg,Efnar AQ 75mg
Xonejet 500mg,Retel 500mg,Xonejet 1000mg/500mg
Hefix 200,Cefimex 200mg,Seftica-CV 200mg/125mg
Meclonac DS,Apisa 100mg/325mg,Meclopara-P
Zoceclo 200mg,Theonac 200mg,Zoceclo R 200mg/20mg
Delonix 125mg,Famol,Delonix-TH
Zeefix 100mg,Livixim 200mg,Zeefix CV 50mg/31.25mg
Metifex SI 250mg/125mg,Trinox S 500mg/250mg,Metifex 200mg
Coolant,Bronchovin D,Coolam 0.25mg
Stricyte 1.4gm,Gemislan 200mg,Stricept 250mg
Mucifi 100mg,Bixigard 200mg,Muciflo
Unecef 1000mg,Frexcef 500mg,Tgcef TZ 1000 mg/125 mg
Clowell S 50mg/10mg,Surgidase D 50mg/10mg,Clowell 1%
Ellixime 200,Spifi 100 DT,Ellixime CV 200mg/125mg
Mefaus P,Fen Forte 500mg/500mg,NEYTA 25 MG/500 MG
Sonic P 100mg/500mg,Delonix-MR,Sonic
Metolet R 25mg/2.5mg,Betaone R 50mg/5mg,Metolix Xl 25
Zotacef 1000mg,Ceftever 500,Zotacef S 250 mg/125 mg
Delonix 650,Kelvin 650mg,Lorvik P 8mg/325mg
Metazone 500mg,Yourflox 1000mg,Meditrax T 1000mg/125mg
Awnec 100mg,Anclof 200mg,Betacerin A 100mg/50mg
Safegard 500mg,Ceftin 1000mg,Safeguard 50
Theolate,Clog T 250mg/250mg,Theolar 40mg
Virexim 200mg,Sefixim 200mg,Virex 800mg
Kazpar 650mg,Feveo 100mg Oral,Kazpar M
Oromol 500mg,Ace 250mg,Oromox 250mg
Ofnida,Ocin TZ 200mg/600mg,Ofnida LB
Molora 100mg Oral,Zuby Kid,Molora-MF Plus
Mcef 1000mg,Mecef 1000mg,Mcef 100mg
Magtrax 250mg,Toraxone 500mg,Pazorex XP 1000mg/125mg
Enzacef 100,Afix 100mg,Enzacef-OF
Anaflam XP 100mg/325mg,Para Ace,Anaflam P 100 mg/125 mg
Quicktuss-DX,Restin Linctus,Quick Calm 10mg/1mg
T 98 1000mg,Sanmol 500mg,Rofibax Plus 25 mg/500 mg
Insivace TP 100mg/325mg,R-Par 100mg/500mg,Coldfresh P Oral
Astofen-MR,CGX-SP,Thiobit Plus 325mg/4mg
CADIXIM 200 MG,Exin 200mg,Cadixim OF
Ethyricef 500mg,Rixone 250,Elores 2000mg
Sitaxa 100,Sitanorm 100mg,Sitaxa D 10mg/100mg
Nesufen 100mg,Nimto 100mg,Nesufen Plus 100mg/325mg
Ceftec S 1000mg/500mg,Zifcef SB,Siffy SB 200mg/150mg
Aloo 100mg/500mg,Zacpar 50mg/500mg,Aloo 200mg
Relexulide,Nimlen 100mg,Relexi D 10mg/20mg
Glucotim LA,Timoslas,Glucomin-Plus 5mg/500mg
Castop 250mg,Ceftagard 500mg,Zatim-T 1000mg/125mg
Cobamide 100mg,DavaIndia Nimesulide 100mg,Cobamel 1500mcg
